Frame,Video Time,Thumb,Index Finger,Middle Finger,Ring Finger,Pinky Finger,Angle
2,00:00,"(800, 288)","(890, 308)","(898, 381)","(889, 420)","(856, 449)",
3,00:00,"(768, 276)","(887, 314)","(864, 394)","(860, 434)","(851, 463)",
4,00:00,"(752, 279)","(865, 305)","(838, 386)","(829, 431)","(835, 463)",
5,00:00,"(775, 294)","(854, 275)","(810, 359)","(798, 398)","(820, 433)",
6,00:00,"(777, 267)","(819, 256)","(793, 331)","(786, 361)","(798, 394)",
7,00:00,"(731, 221)","(794, 190)","(755, 253)","(752, 286)","(757, 316)",
8,00:00,"(704, 225)","(766, 165)","(772, 168)","(725, 249)","(736, 294)",
9,00:00,"(685, 210)","(742, 134)","(730, 161)","(706, 228)","(710, 266)",
10,00:00,"(690, 138)","(704, 138)","(687, 173)","(687, 191)","(692, 221)",
11,00:00,"(647, 185)","(683, 96)","(655, 147)","(653, 161)","(648, 188)",
12,00:00,"(628, 158)","(669, 84)","(647, 123)","(641, 131)","(632, 168)",
13,00:00,"(618, 140)","(666, 75)","(642, 115)","(633, 121)","(619, 148)",
14,00:00,"(606, 123)","(650, 70)","(640, 84)","(634, 109)","(626, 137)",
15,00:00,"(592, 132)","(619, 103)","(628, 98)","(634, 88)","(637, 85)",
16,00:00,"(626, 89)","(620, 90)","(629, 88)","(622, 90)","(617, 101)",
17,00:00,"(838, 203)","(836, 149)","(834, 150)","(802, 202)","(809, 236)",
18,00:00,"(810, 213)","(832, 132)","(832, 130)","(799, 178)","(806, 212)",
19,00:00,"(764, 245)","(822, 111)","(819, 114)","(791, 154)","(804, 185)",
20,00:00,"(754, 247)","(814, 114)","(819, 105)","(786, 146)","(799, 181)",
21,00:00,"(748, 250)","(799, 153)","(797, 124)","(785, 136)","(796, 159)",
22,00:00,"(746, 246)","(804, 115)","(804, 114)","(776, 149)","(789, 186)",
23,00:00,"(739, 252)","(797, 121)","(793, 115)","(763, 162)","(777, 191)",
24,00:01,"(737, 260)","(797, 127)","(791, 120)","(758, 170)","(777, 201)",
25,00:01,"(738, 264)","(799, 133)","(790, 132)","(759, 183)","(782, 211)",
26,00:01,"(582, 111)","(596, 101)","(570, 123)","(562, 123)","(579, 81)",
27,00:01,"(568, 125)","(600, 71)","(605, 62)","(599, 60)","(579, 65)",
28,00:01,"(817, 290)","(833, 219)","(836, 233)","(805, 300)","(810, 321)",
29,00:01,"(821, 347)","(857, 272)","(859, 287)","(829, 357)","(834, 380)",
33,00:01,"(652, 162)","(683, 130)","(670, 131)","(616, 201)","(603, 233)",
34,00:01,"(691, 187)","(708, 124)","(708, 141)","(682, 202)","(651, 243)",
35,00:01,"(732, 200)","(757, 133)","(779, 185)","(774, 235)","(736, 269)",-26.376888374011997
36,00:01,"(793, 227)","(796, 139)","(815, 207)","(802, 249)","(771, 292)",
37,00:01,"(823, 216)","(825, 159)","(850, 227)","(832, 268)","(801, 314)",
38,00:01,"(847, 227)","(852, 169)","(880, 240)","(859, 284)","(823, 333)",
39,00:01,"(878, 250)","(902, 183)","(933, 261)","(917, 316)","(868, 367)",-23.18283693155601
40,00:01,"(895, 266)","(920, 194)","(955, 276)","(932, 331)","(887, 387)",-22.51523601084556
41,00:01,"(863, 276)","(929, 231)","(949, 289)","(946, 369)","(903, 414)",-24.97690023790167
42,00:01,"(918, 276)","(946, 222)","(985, 298)","(967, 359)","(914, 412)",-22.112796526626642
43,00:01,"(905, 254)","(946, 230)","(976, 279)","(967, 341)","(918, 404)",
